n_estimators,max_samples,max_features,contamination,bootstrap,threshold,precision,recall,f1,fpr,pr_auc,roc_auc,training_seconds
800,1.0,0.7,0.01,False,0.05056716692313959,0.9853933558851592,0.9688384785945762,0.9770457966028812,0.050011879306248515,0.9969052745275693,0.9899294067718002,113.47628545761108
800,1.0,0.7,0.05,False,-0.00144548039299211,0.9853933558851592,0.9688384785945762,0.9770457966028812,0.050011879306248515,0.9969052745275693,0.9899294067718002,132.09237146377563
500,1.0,0.7,0.01,False,0.0511106321038505,0.9853913284869095,0.9687020296776394,0.9769754100475629,0.050011879306248515,0.9969851769755386,0.9902097891967161,67.41829133033752
500,1.0,0.7,0.05,False,-0.0016578902953474361,0.9853913284869095,0.9687020296776394,0.9769754100475629,0.050011879306248515,0.9969851769755386,0.9902097891967161,67.39107155799866
300,1.0,0.7,0.01,False,0.0488236728538371,0.9853811830477281,0.9680197850929558,0.9766233319280374,0.050011879306248515,0.9970741751061489,0.9907421135123532,34.40494465827942
300,1.0,0.7,0.05,False,-0.0013897318568402706,0.9853811830477281,0.9680197850929558,0.9766233319280374,0.050011879306248515,0.9970741751061489,0.9907421135123532,34.88158059120178
300,1.0,1.0,0.01,False,0.04920208320586826,0.9853733106347496,0.967491045539826,0.9763503046576474,0.050011879306248515,0.9971189194799168,0.9901657225019185,6.425585031509399
300,1.0,1.0,0.05,False,-0.0020568726775091056,0.9853733106347496,0.967491045539826,0.9763503046576474,0.050011879306248515,0.9971189194799168,0.9901657225019185,6.302098512649536
500,1.0,1.0,0.01,False,0.0478732294864294,0.9853733106347496,0.967491045539826,0.9763503046576474,0.050011879306248515,0.9971155418854041,0.9903359184348962,10.595599889755249
500,1.0,1.0,0.05,False,-0.002369858046369591,0.9853733106347496,0.967491045539826,0.9763503046576474,0.050011879306248515,0.9971155418854041,0.9903359184348962,11.315857648849487
800,1.0,1.0,0.01,False,0.048788131974319804,0.9853720400965932,0.9674057649667406,0.97630625435705,0.050011879306248515,0.9970917626107271,0.9904021390329041,20.84115743637085
